CAPI_GUID,CAPI_DOCUMENT_DATE,CAPI_BARCODE_USERID,CAPI_FORM_ID,CAPI_EVENT_DATE,CAPI_APPRAISER_NBR,CAPI_NOTE,CAPI_F_ENTRYDATE,CAPI_SCAN_DATE,CAPI_OPERATOR,CAPI_COMMITTED_FLAG,CAPI_POST_KEY,CAPI_POST_USERID
{ACE0847C-F40F-4C5C-BCF1-F14755BFF072},12/31/2023,,NP0830,12/31/2023,733,,"3/22/2024 9:02:14 AM",3/22/2024,I3532,N,"3/22/2024 9:02:14 AM",I3532
{AEADB19B-15B8-4691-B840-A71F9B1A6584},1/1/2021,,NP0830,1/1/2021,672,,"4/7/2021 8:55:55 AM",4/7/2021,H8585,N,"4/7/2021 8:55:55 AM",H8585
{A0822673-C201-42DF-973C-AE7AC92A388C},12/31/2023,,NP0830,12/31/2023,733,,"3/22/2024 9:17:08 AM",3/22/2024,I3532,N,"3/22/2024 9:17:08 AM",I3532
{A2827103-1628-4AC6-A984-D8DC3559B10D},12/31/2023,,NP0830,12/31/2023,705,,"3/28/2024 3:45:37 PM",3/28/2024,I3532,N,"3/28/2024 3:45:37 PM",I3532
{A4890BA5-BE56-4647-93AD-735E03D371FC},10/11/2023,,NP0830,10/11/2023,679,,"3/28/2024 7:35:14 AM",3/28/2024,I3532,N,"3/28/2024 7:35:14 AM",I3532
{A57BAA0E-9FA5-480E-AF4B-8888F8D5DF11},9/22/2023,,NP0830,9/22/2023,705,,"3/28/2024 3:42:03 PM",3/28/2024,I3532,N,"3/28/2024 3:42:03 PM",I3532
{A6A0F7A0-EB68-416D-B5A7-9FD40352E6A0},5/5/2022,,NP0830,5/5/2022,746,"05/05/2022 CON-NEW AIRCRAFT HANGAR","6/7/2023 5:17:44 PM",6/7/2023,A6057,N,"6/7/2023 5:17:44 PM",A6057
{A7BE2FB5-1734-4669-B1DD-BF0FE73F9364},4/3/2023,,NP0830,4/3/2023,733,,"3/22/2024 8:14:48 AM",3/22/2024,I3532,N,"3/22/2024 8:14:48 AM",I3532
{A7EACB84-3BD9-43EC-89E9-D1E39BC18F9C},12/30/2023,,NP0830,12/30/2023,671,,"3/22/2024 8:10:23 AM",3/22/2024,I3532,N,"3/22/2024 8:10:23 AM",I3532
{A7E6D153-A8EA-4DC9-A99F-8E0EC615E774},10/5/2023,,NP0830,10/5/2023,733,,"3/22/2024 8:05:24 AM",3/22/2024,I3532,N,"3/22/2024 8:05:24 AM",I3532
{A79117CF-D8B1-4256-8FEB-1AA8AD98990E},12/31/2022,,NP0830,12/31/2022,720,"PROP 8 MARKET AND INCOME","4/18/2023 11:41:14 AM",4/18/2023,H8585,N,"4/18/2023 11:41:14 AM",H8585
{A9C719C7-FA41-48E9-B350-87C39D5FC5FD},12/30/2022,,NP0830,12/30/2022,621,,"7/27/2023 4:57:30 PM",7/27/2023,A6057,N,"7/27/2023 4:57:30 PM",A6057
{A915F03E-A495-4C59-B2A0-4628170675AE},12/31/2023,,NP0830,12/31/2023,733,,"3/22/2024 8:52:14 AM",3/22/2024,I3532,N,"3/22/2024 8:52:14 AM",I3532
{BB284E37-5CF8-4B9E-8CFC-4B93663F2B32},1/2/2015,,NP0830,1/2/2015,732,,"3/20/2024 7:52:12 AM",3/20/2024,I3532,N,"3/20/2024 7:52:12 AM",I3532
{BC50520F-9998-4234-8F1C-D465D5F6BF6A},12/30/2023,,NP0830,12/30/2023,730,"75% CIP","4/1/2024 1:26:08 PM",4/1/2024,I3532,N,"4/1/2024 1:26:08 PM",I3532
{BDB613B8-0C2D-4AF4-8605-09CC61939EE7},10/27/2023,,NP0830,10/27/2023,731,,"3/28/2024 3:46:28 PM",3/28/2024,I3532,N,"3/28/2024 3:46:28 PM",I3532
{BEA72E33-35D6-4372-A719-27119ABE23C7},10/5/2023,,NP0830,10/5/2023,704,"MINI STG. USED SALES COMPARISON APPROACH","3/28/2024 4:54:51 PM",3/28/2024,I3532,N,"3/28/2024 4:54:51 PM",I3532
{BFD42973-0CBB-42C9-8A77-FF20B5EDF2F9},12/31/2023,,NP0830,12/31/2023,621,,"4/2/2024 10:37:26 AM",4/2/2024,I3532,N,"4/2/2024 10:37:26 AM",I3532
