CAPI_GUID,CAPI_DOCUMENT_DATE,CAPI_BARCODE_USERID,CAPI_FORM_ID,CAPI_EVENT_DATE,CAPI_APPRAISER_NBR,CAPI_NOTE,CAPI_F_ENTRYDATE,CAPI_SCAN_DATE,CAPI_OPERATOR,CAPI_COMMITTED_FLAG,CAPI_POST_KEY,CAPI_POST_USERID
{A808DF77-996B-4BB5-A4BC-8B020B651737},12/31/2022,,NP0830,12/31/2022,747,,3/20/2024 7:47,3/20/2024,I3532,N,3/20/2024 7:47,I3532
{BF3C6058-2B81-4737-AA7D-D81C22E7176F},12/31/2021,,NP0830,12/31/2021,679,CALL IN REVIEW,10/19/2022 8:17,10/19/2022,H8585,N,10/19/2022 8:17,H8585
{B66E333E-F924-4945-8C70-841C2910F0BD},12/31/2019,,NP0830,12/31/2019,704,PROP 8 REQUEST WAS DENIED,7/27/2021 12:55,7/27/2021,H8585,N,7/27/2021 12:55,H8585
{CAA5AED4-0C1A-4805-81FE-5F70E380AAD4},12/31/2020,,NP0830,12/31/2020,695,,2/17/2022 13:42,2/17/2022,H8585,N,2/17/2022 13:42,H8585
{C8C3A7AE-736D-4727-A539-1CAAE35C3BC5},9/8/2021,,NP0830,9/8/2021,670,09/08/2021 TOT-TRF,7/14/2022 8:32,7/14/2022,H8585,N,7/14/2022 8:32,H8585
{DC9BA24C-3CDF-47FE-8DD3-5AA0C5A2D3E5},11/17/2023,,NP0830,11/17/2023,733,CON-NEW,3/19/2024 7:56,3/19/2024,I3532,N,3/19/2024 7:56,I3532
{D87118E1-7450-4A4A-A533-23E630757A93},5/5/2023,,NP0830,5/5/2023,705,,2/27/2024 7:53,2/27/2024,I3532,N,2/27/2024 7:53,I3532
{D9C8C25F-8BE1-4493-A203-D8CB8D886870},9/8/2021,,NP0830,9/8/2021,593,,7/20/2022 16:45,7/20/2022,H8585,N,7/20/2022 16:45,H8585
{E026EAA6-2FAA-44FD-961E-E060E8251327},11/17/2023,,NP0830,11/17/2023,733,CON-NEW,3/19/2024 7:56,3/19/2024,I3532,N,3/19/2024 7:56,I3532
{E8C335DF-119E-410C-A952-95A1E5D82971},12/31/2022,,NP0830,12/31/2022,731,,5/18/2023 8:15,5/18/2023,A6057,N,5/18/2023 8:15,A6057
{E9547BD6-640E-4B47-BC4D-C42C533BC63A},1/1/2022,,NP0830,1/1/2022,689,,3/22/2023 10:18,3/22/2023,H8585,N,3/22/2023 10:18,H8585
{FA6CD4F5-9DF0-4232-97A3-45067D253A70},12/31/2021,,NP0830,12/31/2021,714,,7/26/2022 8:02,7/26/2022,H8585,N,7/26/2022 8:02,H8585
{FDCE2491-A6A5-4883-930F-2D0247F5A010},12/31/2022,,NP0830,12/31/2022,732,,12/7/2023 7:32,12/7/2023,I3532,N,12/7/2023 7:32,I3532
{FF7C9C5A-F2F8-434B-9A48-CA10D4F11895},12/31/2023,,NP0830,12/31/2023,730,PROP 8 REVIEW,4/11/2024 8:12,4/11/2024,I3532,N,4/11/2024 8:12,I3532
{F579EE69-0EF8-47BC-91A0-1FBABD95942C},12/31/2022,,NP0830,12/31/2022,704,PROP 8 BREVIEW. SALES COMPARISON AND INCOME,10/12/2023 17:17,10/12/2023,A6057,N,10/12/2023 17:17,A6057
{F843379C-9EF7-41B9-BE9D-AC6A45FBE187},12/31/2022,,NP0830,12/31/2022,679,PROP 8 REVIEW,9/19/2023 13:28,9/19/2023,A6057,N,9/19/2023 13:28,A6057
{0AFE1AB8-3E0E-4CEA-BF8F-73BCEECD0606},12/31/2022,,NP0830,12/31/2022,747,,3/4/2024 16:26,3/4/2024,I3532,N,3/4/2024 16:26,I3532
{0F1E6651-ABEA-418F-824F-7100A7AC19A0},12/31/2022,,NP0830,12/31/2022,747,,3/20/2024 7:47,3/20/2024,I3532,N,3/20/2024 7:47,I3532
{016F4232-F982-4293-9C89-3AB6B499A0D9},12/31/2021,,NP0830,12/31/2021,705,,7/26/2022 7:33,7/26/2022,H8585,N,7/26/2022 7:33,H8585
{06CCC542-6119-45D2-AE1F-E70576E556F1},12/31/2020,,NP0830,12/31/2020,705,,9/29/2021 16:13,9/29/2021,H8585,N,9/29/2021 16:13,H8585
{1AEEEB40-EEFE-4C34-9BEC-33D9D6278DC7},12/31/2021,,NP0830,12/31/2021,655,4-STALL SELF-SERVE CAR WASH,7/20/2023 9:17,7/20/2023,A6057,N,7/20/2023 9:17,A6057
{18AB7549-F7D4-405B-BED5-A23CA29CBF8F},12/31/2021,,NP0830,12/31/2021,714,,8/9/2022 8:34,8/9/2022,H8585,N,8/9/2022 8:34,H8585
{219D9D31-60FF-403E-AB26-6C0607E91879},12/31/2022,,NP0830,12/31/2022,746,12/31/2022 REV-DCL SUBSEQUENT TO APPEAL 2022-01330,1/3/2024 15:42,1/3/2024,I3532,N,1/3/2024 15:42,I3532
{2361C0E1-0C09-4112-A837-D53AA4445DBC},11/17/2023,,NP0830,11/17/2023,733,CON-NEW,3/19/2024 7:56,3/19/2024,I3532,N,3/19/2024 7:56,I3532
{266332DA-42F7-4A65-B48E-ACF38A61094B},12/31/2021,,NP0830,12/31/2021,714,,12/19/2022 8:33,12/19/2022,H8585,N,12/19/2022 8:33,H8585
{3DB7489E-3995-4FA3-9547-5E3E020E2652},9/5/2023,,NP0830,9/5/2023,731,,3/22/2024 9:11,3/22/2024,I3532,N,3/22/2024 9:11,I3532
{33BFFE6C-DA0B-4A71-9545-9FD8399AC7E4},1/27/2023,,NP0830,1/27/2023,714,,10/5/2023 8:05,10/5/2023,A6057,N,10/5/2023 8:05,A6057
{3325AE64-28BC-4DE2-BBA9-241480D279F7},5/5/2023,,NP0830,5/5/2023,705,,2/27/2024 7:55,2/27/2024,I3532,N,2/27/2024 7:55,I3532
{4DF3C4F8-7DA8-45F0-AE33-F6E6A09B266A},11/17/2023,,NP0830,11/17/2023,733,CON-NEW,3/19/2024 7:56,3/19/2024,I3532,N,3/19/2024 7:56,I3532
