parcel_nbr,event_date,event_date2,other_note
0253-251-01-0000,2/4/2020,,
0459-341-62-0000,12/30/2023,,
0257-101-33-0000,10/19/2023,,
0459-681-09-0000,12/30/2023,,
3129-471-04-0000,12/30/2023,,
0164-161-34-0000,12/30/2023,,
0229-283-79-0000,12/29/2020,,
3128-331-06-0000,10/8/2009,,
1011-182-10-0000,9/5/2023,,
0255-271-16-0000,3/9/2024,,
1023-011-80-0000,9/5/2023,,
0528-241-02-0000,12/29/2023,,
0437-483-04-000,8/21/2023,,
0414-031-12-0000,10/2/2023,,
,,,
1054-111-05-0000,11/29/2023,,
0421-172-05-0000,8/16/2023,,
1015-081-03-0000,12/13/2022,,
0193-161-40-0000,10/16/2023,,
0516-141-09-0000,10/5/2023,,
0150-392-11-0000,2/3/2023,,
0226-482-11-0000,7/6/2023,,
1011-112-44-0000,12/28/2023,,
0516-111-13-0000,8/24/2023,,-2
1049-093-16-0000,12/31/2023,,
1119-221-71-0000,12/14/2023,,2
1011-463-33-0000,12/31/2023,,
0457-293-09-0000,10/12/2023,,
1051-171-41-0000,12/31/2023,,
0477-201-46-0000,12/31/2022,,3
0428-171-57-0000,7/6/2022,,
0473-161-01-0000,1/2/2015,,
0413-091-27-0000,10/16/2023,,2
,,,
1056-271-02-0000,10/10/2021,,1st
0486-143-04-0000,10/19/2023,,
0150-073-22-0000,12/30/2023,,
0185-268-08-0000,10/5/2023,,2
0150-073-23-0000,12/30/2023,,
1052-051-16-0000,12/31/2023,,
0234-211-33-0000,5/6/2021,,
1050-441-74-0000,4/3/2023,,2
3039-321-08-0000,12/30/2023,,
0191-221-46-0000,12/31/2023,,
0338-085-01-0000,12/31/2023,,
0426-092-21-0000,8/29/2023,,
0601-416-05-0000,12/31/2023,,
0472-191-03-0000,8/29/2023,,
0601-416-04-0000,12/31/2023,,
0601-416-03-0000,12/31/2023,,
1014-371-37-0000,9/1/2023,,
0218-161-18-0000,7/24/2023,,
0240-121-43-0000,9/19/2023,,
0601-601-01-0000,12/31/2023,,
0601-601-02-0000,12/31/2023,,
0601-601-03-0000,12/31/2023,,
0601-601-04-0000,12/31/2023,,
3068-611-17-0000,9/5/2023,,
0601-601-05-0000,12/31/2023,,
0601-601-06-0000,12/31/2023,,
0601-601-07-0000,12/31/2023,,
0601-601-08-0000,12/31/2023,,
0601-601-09-0000,12/31/2023,,
,,,
0601-601-10-0000,12/31/2023,,
0601-601-11-0000,12/31/2023,,2
0601-601-12-0000,12/31/2023,,
0601-601-13-0000,12/31/2023,,
0601-601-14-0000,12/31/2023,,
0601-601-15-0000,12/31/2023,,
0396-042-11-0000,9/5/2023,,
0601-601-16-0000,12/31/2023,,
0601-601-17-0000,12/31/2023,,
0601-601-18-0000,12/31/2023,,
0601-601-19-0000,12/31/2023,,
0601-601-20-0000,12/31/2023,,
0601-601-21-0000,12/31/2023,,
0601-601-22-0000,12/31/2023,,
0601-601-23-0000,12/31/2023,,
0601-601-24-0000,12/31/2023,,
0602-173-21-0000,12/31/2023,,
0604-141-51-0000,12/31/2023,,2
0604-141-52-0000,12/31/2023,,
0604-231-19-0000,12/31/2023,,
0604-231-20-0000,12/31/2023,,
0604-051-44-0000,12/31/2023,,
0604-051-06-0000,12/31/2023,,
0602-261-01-000,12/31/2023,,
0194-371-12-0000,12/31/2023,,2
0186-031-08-0000,12/31/2023,,
0338-146-06-0000,12/31/2023,,
0186-241-68-0000,12/31/2023,,
0186-106-01-0000,12/31/2023,,
0186-106-02-0000,12/31/2023,,
0434-042-21-0000,9/7/2023,,
0164-162-43-0000,10/2/2023,,
0327-153-09-0000,12/31/2023,,
0327-153-10-0000,12/31/2023,,
,,,
1023-011-81-0000,9/5/2023,,
1023-011-59-0000,9/5/2023,,
0191-011-12-0000,12/31/2023,,2
