parcel_nbr,event_date,event_date2,other_note
1011-091-02-0000,03/06/2024,,
1008-431-08-0000,03/06/2024,,Other 
0292-381-39-0000,03/07/2024,,
1005-423-20-0000,03/11/2024,,
0273-132-17-0000,03/13/2024,,
0268-011-16-0000,03/14/2024,,
0265-091-10-0000,03/14/2024,,
0503-381-41-Z004,05/05/1979,03/15/2024,
0171-122-16-0000,03/15/2023,,
0299-291-23-0000,03/18/2024,,
0273-242-23-0000,03/17/2024,,
0273-102-32-0000,03/15/2024,,
1083-071-13-0000,03/18/2024,,
0194-011-14-0000,03/15/2024,,
0251-073-44-0000,03/07/2024,,
0254-051-60-0000,03/06/2024,,
0258-131-37-0000,03/07/2024,,
3103-113-15-0000,03/18/2024,,
0190-121-29-0000,03/03/2024,,
0477-174-12-P000,03/18/2024,,
,,,
0278-081-24-0000,03/15/2023,,
0169-131-07-0000,03/15/2023,,
0284-351-60-0000,03/15/2023,,
0293-201-05-0000,03/15/2023,,
0186-094-51-0000,11/17/2023,,Delete All 6
0230-151-45-P002,03/20/2024,,
1046-363-26-P001,03/20/2024,,
0170-132-28-0000,03/20/2024,,
0172-031-23-0000,03/20/2024,,-3
0284-333-05-0000,03/20/2024,,1st & 3rd
1028-661-04-0000,12/31/2023,,"1,3,4,5"
0136-481-12-P002,03/19/2024,03/28/2024,
0473-392-18-0000,12/31/2023,,
0183-071-28-0000,12/31/2023,,
0396-013-12-0000,12/31/2023,,
0396-072-10-0000,12/31/2023,,
0396-391-13-0000,12/31/2023,,
,,,
0127-541-29-0000,01/10/2024,,
0477-052-15-0000,03/22/2024,,
3072-241-10-0000,03/22/2024,,
1028-351-40-0000,03/20/2024,,
0208-261-55-0000,03/20/2024,,
1100-281-37-0000,03/01/2024,,
,,,
0280-261-42-P000,03/21/2024,,
0415-132-04-0000,09/05/2023,,
0183-261-63-0000,03/21/2024,,
0302-091-25-0000,03/21/2024,,
0149-193-22-0000,03/25/2024,,
,,,
1014-241-08-0000,03/25/2024,,
1007-462-08-0000,03/13/2024,,
0209-541-04-0000,03/22/2024,,
0128-602-72-0000,03/15/2024,,3
1022-051-29-0000,03/10/2024,,
1015-131-16-0000,03/08/2024,,
0265-191-17-0000,03/25/2024,,
0281-091-48-0000,03/21/2024,,
0299-141-07-0000,02/23/2024,,
0299-081-01-0000,03/04/2024,,
0299-081-02-0000,03/04/2024,,
0299-251-06-0000,03/04/2024,,
0293-142-04-0000,03/04/2024,,
0299-121-10-0000,03/04/2024,,
0299-251-17-0000,02/27/2024,,
0167-031-14-0000,03/04/2024,,2
0324-281-40-0000,02/23/2024,,
0299-251-33-0000,03/04/2024,,
0299-031-29-0000,02/23/2024,,
0299-041-07-0000,03/04/2024,,
0299-141-06-0000,02/27/2024,,
0298-321-17-0000,03/04/2024,,
0299-071-33-0000,03/23/2024,,
0294-031-06-0000,03/04/2024,,
0293-052-06-0000,03/04/2024,,
0130-182-09-0000,09/11/2023,,
0557-271-37-0000,03/26/2024,,3
0128-551-68-0000,02/01/2021,,
,,,
0428-142-08-0000,12/31/2023,,
0410-242-55-0000,12/31/2023,,
0182-111-10-0000,12/31/2023,,
0473-381-18-0000,12/31/2023,,
0209-261-43-P000,03/27/2024,,
0304-361-01-W048,03/27/2024,,
1007-511-11-0000,03/15/2023,,
1051-522-42-0000,03/26/2024,,
1010-113-17-0000,03/26/2024,,
1014-521-10-0000,03/26/2024,,
1073-422-17-0000,03/26/2024,,
0209-541-02-0000,03/26/2024,,
1047-451-25-0000,03/11/2024,,
1046-081-04-0000,03/04/2024,03/15/2024,
1133-201-06-000,03/27/2024,,
0128-661-34-0000,01/22/2024,,
0281-351-28-P000,03/14/2016,,
1045-462-06-0000,03/27/2024,,
,,,
3093-491-34-0000,03/19/2023,,
3093-211-04-0000,03/22/2023,,
0293-011-28-0000,03/27/2024,,
0292-162-20-P000,03/28/2024,,
0406-031-09-0000,03/22/2024,,
0303-175-39-0000,03/22/2024,,
0322-062-61-0000,03/22/2024,,
0319-212-08-0000,03/28/2024,,
0292-155-19-0000,03/21/2024,,
0319-212-73-0000,03/21/2024,,
0136-481-12-P002,03/19/2024,03/28/2024,
0410-041-43-0000,12/31/2023,,
0413-111-51-0000,03/18/2024,,
0441-301-01-0000,12/31/2023,,
3064-641-08-0000,03/15/2024,,
0494-181-35-0000,03/11/2024,,
3093-531-12-0000,03/15/2024,,
0357-132-05-0000,03/04/2024,,
0175-303-01-0000,03/28/2024,,
0262-042-43-0000,03/29/2024,,3
0486-131-10-0000,03/20/2024,,
,,,
0529-131-53-S000,03/29/2024,,
0531-041-36-S000,03/29/2024,,
1021-611-05-P001,03/29/2024,,
1062-621-67-0000,04/01/2024,,
0281-371-75-0000,03/29/2024,,
0128-641-44-0000,01/03/2024,,
0230-082-21-0000,02/20/2024,,
1048-365-05-0000,04/01/2024,,
0398-181-23-0000,04/01/2024,,
0477-421-18-P002,,,company 004852
0249-121-18-0000,01/22/2024,,
0176-031-26-0000,04/01/2024,,
,,,
0477-234-27-0000,04/02/2024,,
3087-444-15-0000,04/02/2024,,
0133-171-32-0000,03/11/2024,,
0133-171-33-0000,03/11/2024,,
0236-052-45-0000,03/20/2024,,
0190-154-15-0000,04/01/2024,,
0190-211-20-0000,03/20/2024,,
0130-281-47-0000,03/10/2024,,
0132-132-04-0000,03/11/2024,,
1110-361-19-0000,03/12/2024,,
0250-211-34-0000,04/01/2024,,
0233-051-04-0000,04/01/2024,,
1212-284-14-0000,04/01/2024,,
