parcel_nbr,event_date,event_date2,other_note,parcel_nbr_clean,capp_guid,event_date_x,event_date_y
0253-251-01-0000,2020-02-04,,,0253251010000,{C22F4583-F0E6-4354-9332-F3F8E76E902B},,
0459-341-62-0000,2023-12-30,,,0459341620000,{C9A34E20-A5FE-463E-8F36-4182747A62B0},,
0257-101-33-0000,2023-10-19,,,0257101330000,{3C7A438C-736D-4877-8899-72C39497446B},,
0459-681-09-0000,2023-12-30,,,0459681090000,{CE9B95D0-C67E-4423-A6A8-A6A73493758E},,
0164-161-34-0000,2023-12-30,,,0164161340000,{667D843D-918F-40B7-AF7E-224E06BFE6E7},,
0229-283-79-0000,2020-12-29,,,0229283790000,{1AC80550-345D-479F-A267-C795BA8E314B},,
0255-271-16-0000,2024-03-09,,,0255271160000,{7E370DC3-7F79-43CE-8B83-30FE312DB1A1},,
0528-241-02-0000,2023-12-29,,,0528241020000,{8A8E09EF-67A2-4880-BE3C-B8F996991ACF},,
0414-031-12-0000,2023-10-02,,,0414031120000,{B99DB391-4186-44A3-8798-933458CC7432},,
0421-172-05-0000,2023-08-16,,,0421172050000,{4B094C79-F4DF-49DC-8449-951FD3910E07},,
0193-161-40-0000,2023-10-16,,,0193161400000,{D25104F1-1108-4FC4-B9CF-722FAB3F2603},,
0516-141-09-0000,2023-10-05,,,0516141090000,{D220AF26-B014-4865-B82E-57B3F7DA6C00},,
0150-392-11-0000,2023-02-03,,,0150392110000,{592CF227-BB71-4962-A347-73552708FA51},,
0226-482-11-0000,2023-07-06,,,0226482110000,{F5CE70B6-01FB-4A26-A9DF-2BC3B94AC098},,
0516-111-13-0000,2023-08-24,,-2,0516111130000,{53FB7CE6-88A2-4892-A862-7F2972E60F4C},,
0516-111-13-0000,2023-08-24,,-2,0516111130000,{D97C2E02-FE12-44BF-B970-AA2E605A6DF4},,
0457-293-09-0000,2023-10-12,,,0457293090000,{B67DFE05-D6FC-4B9B-89A7-F13F3E497B6C},,
0477-201-46-0000,2022-12-31,,3,0477201460000,{24E51C06-6CEB-4FDF-894A-E84F0DC14926},,
0477-201-46-0000,2022-12-31,,3,0477201460000,{82EA3CEF-EAA3-42E1-9E9D-A96AF56C9D12},,
0477-201-46-0000,2022-12-31,,3,0477201460000,{D694DAE9-4DF2-4A02-AE1E-32D86D4FF27B},,
0428-171-57-0000,2022-07-06,,,0428171570000,{852A9338-0818-4BC0-906F-E73E769C364A},,
0473-161-01-0000,2015-01-02,,,0473161010000,{BB284E37-5CF8-4B9E-8CFC-4B93663F2B32},,
0413-091-27-0000,2023-10-16,,2,0413091270000,{12F8CB56-29EA-4F61-A0A0-0C86EFD09F5C},,
0413-091-27-0000,2023-10-16,,2,0413091270000,{E0B6EF9E-73A3-4B38-8716-40CF52BD7F6F},,
0486-143-04-0000,2023-10-19,,,0486143040000,{F16F20C9-F580-4104-8BAC-848028869248},,
0150-073-22-0000,2023-12-30,,,0150073220000,{EDB14C17-08C7-4756-9F1B-3EC687D52B8E},,
0185-268-08-0000,2023-10-05,,2,0185268080000,{8C65401D-95CB-4FED-9B56-120BDC4245AB},,
0185-268-08-0000,2023-10-05,,2,0185268080000,{A7E6D153-A8EA-4DC9-A99F-8E0EC615E774},,
0150-073-23-0000,2023-12-30,,,0150073230000,{A7EACB84-3BD9-43EC-89E9-D1E39BC18F9C},,
0234-211-33-0000,2021-05-06,,,0234211330000,{113D2266-7AE9-4A0B-9C20-521C3B5F703D},,
0191-221-46-0000,2023-12-31,,,0191221460000,{4D2A189D-9423-4C90-B3AF-B2E4490DBAB5},,
0338-085-01-0000,2023-12-31,,,0338085010000,{CDC8670B-C582-4F92-911E-27A050714255},,
0426-092-21-0000,2023-08-29,,,0426092210000,{41CB7BA1-3453-45A6-9BEF-D4C83B981FCF},,
0601-416-05-0000,2023-12-31,,,0601416050000,{2EE544D7-B08B-442E-9EE5-A1ABC570C4C9},,
0472-191-03-0000,2023-08-29,,,0472191030000,{29E9B93B-B4B2-41E5-A810-83D9AA0829DE},,
0601-416-04-0000,2023-12-31,,,0601416040000,{B1628C95-63FB-45DB-91DC-2EB055B9EB77},,
0601-416-03-0000,2023-12-31,,,0601416030000,{D799AD9B-DFE0-487C-8181-DC989515B914},,
0218-161-18-0000,2023-07-24,,,0218161180000,{CA3EB1F9-5E4F-420F-8202-7C0AA832804B},,
0601-601-01-0000,2023-12-31,,,0601601010000,{FE00403E-CC7A-422A-9EB0-465ED960D51C},,
0601-601-02-0000,2023-12-31,,,0601601020000,{F0C313BD-BFE7-4C7A-BF34-55D1C550A0BA},,
0601-601-03-0000,2023-12-31,,,0601601030000,{EA9169E3-FB9F-4497-A0AB-611914A1EFFB},,
0601-601-04-0000,2023-12-31,,,0601601040000,{5626CFD5-AF84-4D27-88AD-CCA63BCC2F5B},,
0601-601-05-0000,2023-12-31,,,0601601050000,{1992FF43-9BD7-4806-BCD3-767050FC67DE},,
0601-601-06-0000,2023-12-31,,,0601601060000,{30582694-CD90-4026-A955-5910E1180A08},,
0601-601-07-0000,2023-12-31,,,0601601070000,{F6D3ED63-F18A-48F6-B636-AC29B94F4CBB},,
0601-601-08-0000,2023-12-31,,,0601601080000,{3D21A171-88AE-40B5-827A-C4F794990246},,
0601-601-09-0000,2023-12-31,,,0601601090000,{769CC873-F9FA-4558-99E3-AA010916C55B},,
