title,rating,reviews,description,type,phone,address
Vim + Vigor Fitness,4.8,282,Onsite services,Gym,(951) 683-1847,5225 Canyon Crest Dr
Anytime Fitness,3.8,103,,Gym,(951) 643-3992,"3191 B, Mission Inn Avenue"
24 Hour Fitness,3.6,320,Onsite services,Gym,(951) 324-5334,3490 Madison St
Tournament House Gym,4.6,132,,Gym,(951) 682-7511,6250 Brockton Ave
LA Fitness,4.0,615,,Gym,(951) 231-2088,3437 Arlington Ave
Planet Fitness,4.2,726,,Gym,(951) 779-2977,4135 Chicago Ave Ste 190
Fitness Mania,4.2,312,,Gym,(951) 776-9375,8719 Trautwein Rd
Anytime Fitness,4.0,113,,Gym,(951) 977-9607,4270 Riverwalk Pkwy
9Round Riverside,4.8,44,Onsite services·Online classes,Gym,(951) 331-3223,3600 Central Ave #3
Curl Fitness Riverside,3.9,316,Onsite services,Gym,(951) 785-1919,11140 Magnolia Ave
LA Fitness,3.8,506,,Gym,(951) 774-4267,10988 Magnolia Ave
LA Fitness,4.2,325,,Gym,(951) 780-4838,19531 Mission Village Dr
Key Fitness Company,5.0,9,Onsite services·Online classes,Gym,(951) 720-2496,6930 Indiana Ave Suite 2
24 Hour Fitness,3.4,357,Onsite services,Gym,(951) 571-8335,"Moreno Valley, CA"
Healthy Body Training Facility,4.6,129,,Gym,(951) 332-2900,8082 Limonite Ave suite b
Get-N-Ready Fitness Club,3.7,6,,Gym,(951) 907-0739,6833 Indiana Ave STE 202
Crunch Fitness - North Riverside,3.7,409,,Gym,(951) 934-7007,7960 Limonite Ave
LA Fitness,3.8,361,,Gym,(951) 653-3240,2600 Canyon Springs Pkwy
The Fitness Bureau Training Facility,5.0,83,Onsite services·Online classes,Gym,(951) 776-7524,"Grand Terrace, CA"
T3 Fitness,4.9,62,Onsite services·Online classes,Fitness center,(951) 902-0071,6720 Brockton Ave
